Name                                               Stmts   Miss  Cover
----------------------------------------------------------------------
cowrieprocessor/__init__.py                            7      4    43%
cowrieprocessor/cli/__init__.py                        2      0   100%
cowrieprocessor/cli/analyze.py                       512    375    27%
cowrieprocessor/cli/cowrie_db.py                    1308    709    46%
cowrieprocessor/cli/db_config.py                      39     27    31%
cowrieprocessor/cli/enrich_passwords.py              672    434    35%
cowrieprocessor/cli/enrich_ssh_keys.py               375    375     0%
cowrieprocessor/cli/file_organizer.py                103    103     0%
cowrieprocessor/cli/health.py                         99     40    60%
cowrieprocessor/cli/ingest.py                         74      0   100%
cowrieprocessor/cli/report.py                        380    140    63%
cowrieprocessor/db/__init__.py                         5      0   100%
cowrieprocessor/db/base.py                             7      0   100%
cowrieprocessor/db/engine.py                         110      3    97%
cowrieprocessor/db/enhanced_dlq_migration.py          48     48     0%
cowrieprocessor/db/enhanced_dlq_models.py            119    119     0%
cowrieprocessor/db/enhanced_stored_procedures.py      40     40     0%
cowrieprocessor/db/json_utils.py                      52      0   100%
cowrieprocessor/db/migrations.py                     494    261    47%
cowrieprocessor/db/models.py                         281     11    96%
cowrieprocessor/db/stored_procedures.py               35     35     0%
cowrieprocessor/db/type_guards.py                     58      9    84%
cowrieprocessor/enrichment/__init__.py                 8      1    88%
cowrieprocessor/enrichment/cache.py                  177     30    83%
cowrieprocessor/enrichment/hibp_client.py             68      3    96%
cowrieprocessor/enrichment/legacy_adapter.py          57     41    28%
cowrieprocessor/enrichment/password_extractor.py      24      0   100%
cowrieprocessor/enrichment/rate_limiting.py           92     29    68%
cowrieprocessor/enrichment/ssh_key_analytics.py      176    120    32%
cowrieprocessor/enrichment/ssh_key_extractor.py      172     22    87%
cowrieprocessor/enrichment/telemetry.py               91      5    95%
cowrieprocessor/enrichment/virustotal_handler.py     142     26    82%
cowrieprocessor/enrichment/virustotal_quota.py       101      3    97%
cowrieprocessor/loader/__init__.py                     4      0   100%
cowrieprocessor/loader/bulk.py                       601    136    77%
cowrieprocessor/loader/cowrie_schema.py              210    106    50%
cowrieprocessor/loader/defanging.py                  131      5    96%
cowrieprocessor/loader/delta.py                      258     46    82%
cowrieprocessor/loader/dlq_cli.py                    160    160     0%
cowrieprocessor/loader/dlq_enhanced_cli.py           160    160     0%
cowrieprocessor/loader/dlq_processor.py              435    197    55%
cowrieprocessor/loader/dlq_stored_proc_cli.py         95     95     0%
cowrieprocessor/loader/file_processor.py              67      0   100%
cowrieprocessor/loader/improved_hybrid.py            167    167     0%
cowrieprocessor/reporting/__init__.py                  4      0   100%
cowrieprocessor/reporting/builders.py                 95     10    89%
cowrieprocessor/reporting/dal.py                     120      2    98%
cowrieprocessor/reporting/es_publisher.py             27      2    93%
cowrieprocessor/settings.py                           68      0   100%
cowrieprocessor/status_emitter.py                    121     25    79%
cowrieprocessor/telemetry/__init__.py                  2      0   100%
cowrieprocessor/telemetry/otel.py                     25     13    48%
cowrieprocessor/threat_detection/__init__.py           6      0   100%
cowrieprocessor/threat_detection/botnet.py           262    145    45%
cowrieprocessor/threat_detection/longtail.py         602    234    61%
cowrieprocessor/threat_detection/metrics.py          111     44    60%
cowrieprocessor/threat_detection/snowshoe.py         181     14    92%
cowrieprocessor/threat_detection/storage.py          207    207     0%
cowrieprocessor/utils/file_type_detector.py           83     23    72%
cowrieprocessor/utils/unicode_sanitizer.py           109      6    94%
----------------------------------------------------------------------
TOTAL                                              10239   4810    53%
