"attack_date","session_count","total_commands","avg_commands_per_session","total_file_downloads","total_login_attempts","total_ssh_key_injections","vt_flagged_sessions","dshield_flagged_sessions","avg_duration_seconds","command_count_stddev"
"2025-10-24","140","117","0.83571428571428571429","8","61","5","0","0","11.4611024571428571","4.0136649935401920"
"2025-10-23","123","44","0.35772357723577235772","2","75","2","0","0","8.9255778943089431","2.7938165954238634"
"2025-10-22","293","157","0.53583617747440273038","9","166","7","0","0","9.8588929283276451","3.3335538443745351"
"2025-10-21","1","0","0.00000000000000000000","0","1","0","0","0","120.0011190000000000",NULL
"2025-10-20","590","366","0.62033898305084745763","35","548","18","0","0","4.8183300610169492","3.5250632891050209"
"2025-10-19","75","79","1.0533333333333333","3","53","3","0","0","11.8972022400000000","4.5586073422593551"
"2025-10-18","449","467","1.0400890868596882","29","320","22","0","0","21.6122588106904232","4.5931039138554646"
"2025-10-17","984","824","0.83739837398373983740","53","905","43","0","0","10.9012023831300813","4.0962459229245117"
"2025-10-16","2290","2135","0.93231441048034934498","171","2067","130","0","0","8.0678448864628821","4.2175706824157391"
"2025-10-15","515","721","1.4000000000000000","54","380","34","0","0","10.7755715922330097","5.2069244527656956"
"2025-10-14","875","905","1.0342857142857143","57","705","43","0","0","11.5747015737142857","4.5332450362853993"
"2025-10-13","7548","3453","0.45747217806041335453","260","6607","201","0","0","11.7343274005034446","3.0106332595398235"
"2025-10-12","8304","2275","0.27396435452793834297","148","6502","590","0","0","13.5557723699421965","2.3593707350435318"
"2025-10-11","8329","3933","0.47220554688437987754","259","6967","970","0","0","16.4059217197742826","3.1047168954629456"
"2025-10-10","10010","4760","0.47552447552447552448","272","8616","1085","0","0","12.0278651102897103","3.1491149736148106"
"2025-10-09","7042","2713","0.38525986935529679068","135","5741","670","0","0","14.5463840962794661","2.8478879611546770"
"2025-10-08","9734","4651","0.47780973905896856380","229","8305","1120","0","1045","13.6769344250051366","3.1611842858236416"
"2025-10-07","8180","3252","0.39755501222493887531","166","7021","825","0","883","14.5151956081907090","2.8810028493229797"
"2025-10-06","7270","2911","0.40041265474552957359","134","6099","650","0","1108","14.0832612202200825","2.9025868027469051"
"2025-10-05","7958","4083","0.51306861020356873586","285","6499","1050","0","1050","14.4795813234481025","3.2156409894525670"
"2025-10-04","1174","342","0.29131175468483816014","19","619","85","0","25","16.8913498586030664","2.3208847160545272"
"2025-10-03","4358","492","0.11289582377237264800","44","3860","175","0","59","6.2810433898577329","1.4644792224073981"
"2025-10-02","803","396","0.49315068493150684932","33","449","145","0","38","13.2613915056039851","3.0142455474642215"
"2025-10-01","1101","1305","1.1852861035422343","93","800","250","0","37","7.4631184105358765","4.8172230434025505"
"2025-09-30","907","840","0.92613009922822491731","53","612","168","0","19","9.2949921742006615","4.2680664848944598"
"2025-09-29","494","272","0.55060728744939271255","23","238","52","0","8","12.8826047145748988","3.2088350453874414"
"2025-09-28","753","768","1.0199203187250996","57","575","144","0","15","8.8383816759628154","4.4289156847448137"
"2025-09-27","345","246","0.71304347826086956522","13","179","40","0","19","13.4124810753623188","3.7231954050609453"
"2025-09-26","698","725","1.0386819484240688","47","472","136","0","21","10.3334412664756447","4.5450014461460783"
"2025-09-25","870","883","1.0149425287356322","49","596","160","0","27","12.2657790011494253","4.5185725603208229"
"2025-09-24","958","898","0.93736951983298538622","61","689","160","0","23","8.8856213277661795","4.2704107182322490"
"2025-09-23","613","505","0.82381729200652528548","30","408","84","0","36","10.8877118548123980","3.9973382212982844"
"2025-09-22","767","597","0.77835723598435462842","32","559","108","0","27","9.3066018318122555","3.9869763061030771"
"2025-09-21","991","413","0.41675075681130171544","23","687","76","0","19","8.9378590938446014","2.9639043894387476"
"2025-09-20","9627","3514","0.36501506180533915031","288","8699","688","0","98","10.5042651407499740","2.7084476098898380"
"2025-09-19","10028","4621","0.46080973274830474671","447","8705","1056","0","183","11.9835824959114479","2.9568823629904329"
"2025-09-18","9839","4891","0.49710336416302469763","462","8704","1080","0","195","11.0580017705051326","3.0952827503349523"
"2025-09-17","10643","5840","0.54871746687963919947","525","9481","1128","0","131","8.8903213958470356","3.2755076529673833"
"2025-09-16","11775","9006","0.76484076433121019108","905","10337","1976","0","106","11.7368407161783439","3.8079405748348872"
"2025-09-15","10362","6110","0.58965450685195908126","560","9019","827","0","169","12.0773588650839606","3.3775862802461679"
"2025-09-14","10588","5404","0.51038911975821684926","478","9175","552","0","212","11.9166430097279940","3.1473953961961698"
"2025-09-13","9088","4475","0.49240757042253521127","409","8147","492","0","158","11.6105706606514085","3.0953355629763149"
"2025-09-12","15221","6116","0.40181328427829971750","480","14018","642","0","97","8.4375657836541620","2.8375475469205939"
"2025-09-11","13491","5567","0.41264546734860277222","392","12034","554","0","106","9.9653432916018086","2.8974798318670619"
"2025-09-10","12804","5376","0.41986879100281162137","367","11650","520","0","94","16.8783006358169322","2.9195356853888453"
"2025-09-09","12497","6161","0.49299831959670320877","435","10204","580","0","149","12.3618617284148196","3.1701083350622431"
"2025-09-08","11756","5827","0.49566178972439605308","405","9556","548","0","187","9.2875585260292617","3.1683888826263869"
"2025-09-07","1028","810","0.78793774319066147860","50","799","74","0","27","7.3260493978599222","3.9828955656250052"
"2025-09-06","1109","781","0.70423805229936880072","47","993","70","0","28","8.6800534706943192","3.8042098665324601"
"2025-09-05","1956","543","0.27760736196319018405","38","1702","48","0","27","5.6771393696319018","2.3590993992792650"
"2025-09-04","1557","1282","0.82337829158638407193","89","1185","120","0","28","10.2778980905587669","4.0734286189262370"
"2025-09-03","635","358","0.56377952755905511811","29","346","32","0","63","13.1200169448818898","3.3037992968076204"
"2025-09-02","1045","728","0.69665071770334928230","48","803","78","0","49","10.8536511722488038","3.6631171792451834"
"2025-09-01","828","505","0.60990338164251207729","32","594","44","0","42","10.5378388514492754","3.4722946969169601"
"2025-08-31","667","488","0.73163418290854572714","27","459","44","0","17","11.4367924572713643","3.8890318006487684"
