"week_start","session_count","total_commands","avg_commands_per_session","total_downloads","total_login_attempts","total_ssh_injections","command_count_delta","vt_flagged_ratio","dshield_flagged_ratio","avg_risk_score"
"2025-10-20 00:00:00+00","1147","684","0.59633827375762859634","54","851","32","-7900","0","0","3.1734960767218832"
"2025-10-13 00:00:00+00","12736","8584","0.67399497487437185930","627","11037","476","-15911","0","0","3.6165201005025126"
"2025-10-06 00:00:00+00","58869","24495","0.41609335983284920756","1343","49251","5910","16765","0","0.0515721347398461","2.0441998335286823"
"2025-09-29 00:00:00+00","16795","7730","0.46025602857993450432","550","13077","1925","3108","0","0.07359333134861566","2.4626376897886276"
"2025-09-22 00:00:00+00","5004","4622","0.92366107114308553157","289","3478","832","-29773","0","0.03357314148681055","4.6123101518784972"
"2025-09-15 00:00:00+00","63265","34395","0.54366553386548644590","3210","55632","6831","-4531","0","0.014241681814589426","2.8796332885481704"
"2025-09-08 00:00:00+00","85445","38926","0.45556790918134472468","2966","74784","3888","33919","0","0.011738545263034701","2.3292176253730470"
"2025-09-01 00:00:00+00","8158","5007","0.61375337092424613876","333","6422","466","1320","0","0.03236087276293209","3.1502819318460407"
"2025-08-25 00:00:00+00","4897","3687","0.75290994486420257300","312","3082","344","-579","0","0.027772105370635083","3.9187257504594650"
"2025-08-18 00:00:00+00","4488","4266","0.95053475935828877005","392","3538","410","-958","0","0.022058823529411766","4.8484848484848485"
"2025-08-11 00:00:00+00","6710","5224","0.77853949329359165425","504","5838","524","-4511","0","0.010283159463487332","3.9731743666169896"
"2025-08-04 00:00:00+00","12334","9735","0.78928166045078644398","882","10797","958","-351","0","0.009972433922490677","4.0295119182746879"
"2025-07-28 00:00:00+00","10598","10086","0.95168899792413662955","944","9741","1082","8924","0","0.009341385167012644","4.9726363464804680"
"2025-07-21 00:00:00+00","900","1162","1.2911111111111111","91","818","112","-10094","0","0.006666666666666667","6.2222222222222222"
"2025-07-14 00:00:00+00","12344","11256","0.91186001296176279974","1061","11019","1182","-702","0","0.010450421257290992","4.7650680492546986"
