Executing Query 11: Geographic Distribution Analysis
Expected runtime: 10-15 seconds
======================================================================
country,session_count,unique_asns,days_active,first_seen,last_seen,avg_commands_per_session,total_file_downloads,vt_flagged_count,dshield_flagged_count,country_percentage,asn_diversity_ratio
US,292783,0,224,2025-02-24 03:35:42.894233+00,2025-10-24 23:20:15.841574+00,0.96,35081,0,18199,17.96,0.000
XX,288401,0,313,2024-11-01 00:00:08.606986+00,2025-10-24 20:57:10.387913+00,0.95,30913,0,2104,17.70,0.000
CN,227700,0,219,2025-02-24 03:36:53.746531+00,2025-10-24 20:49:31.457696+00,1.03,29813,0,3539,13.97,0.000
IN,119966,0,216,2025-02-24 03:35:43.946903+00,2025-10-24 23:20:53.33356+00,1.03,16107,0,3017,7.36,0.000
ID,61122,0,204,2025-02-24 03:37:00.198972+00,2025-10-20 20:33:07.651772+00,1.08,7716,0,6741,3.75,0.000
HK,51453,0,217,2025-02-24 03:51:50.178938+00,2025-10-24 15:35:34.548126+00,0.94,5613,0,2891,3.16,0.000
BR,50244,0,213,2025-02-24 03:35:37.384802+00,2025-10-24 15:26:23.171227+00,1.02,6574,0,2250,3.08,0.000
RU,49779,0,217,2025-02-24 03:41:05.565448+00,2025-10-24 15:34:10.904991+00,0.58,3220,0,1655,3.05,0.000
FR,45798,0,190,2025-02-24 03:35:56.510469+00,2025-10-23 21:36:27.381835+00,1.05,6042,0,118,2.81,0.000
VN,36369,0,204,2025-02-24 03:36:18.293494+00,2025-10-24 18:36:39.583373+00,1.08,4802,0,1016,2.23,0.000
KR,36210,0,222,2025-02-24 03:36:20.510461+00,2025-10-24 17:52:21.014487+00,0.89,3894,0,4101,2.22,0.000
TN,30069,0,98,2025-02-24 03:53:40.358644+00,2025-10-15 23:47:40.617617+00,1.06,4483,0,3,1.85,0.000
BD,20645,0,124,2025-02-24 06:54:57.754529+00,2025-10-24 19:07:31.77028+00,1.08,2877,0,483,1.27,0.000
DE,18041,0,169,2025-02-24 04:55:16.766859+00,2025-10-23 20:25:40.276278+00,0.90,1880,0,340,1.11,0.000
MA,17900,0,84,2025-02-24 03:54:30.341406+00,2025-10-22 22:15:15.693092+00,1.08,2641,0,438,1.10,0.000
GB,17521,0,216,2025-02-24 04:35:43.612303+00,2025-10-24 20:30:44.966918+00,0.41,833,0,146,1.08,0.000
IR,17121,0,178,2025-02-24 04:20:12.242036+00,2025-10-22 17:03:38.814046+00,1.07,1965,0,1918,1.05,0.000
SG,11461,0,209,2025-02-24 04:15:02.40592+00,2025-10-24 21:08:02.241163+00,0.87,1057,0,2669,0.70,0.000
MX,10209,0,146,2025-02-24 03:35:58.815437+00,2025-10-22 18:41:18.948341+00,1.18,1461,0,211,0.63,0.000
IT,9728,0,166,2025-02-24 04:32:36.135886+00,2025-10-24 21:58:04.310346+00,1.30,1375,0,4,0.60,0.000
TH,9474,0,177,2025-02-24 04:12:42.77857+00,2025-10-24 18:53:58.127239+00,1.03,1110,0,609,0.58,0.000
PK,9386,0,117,2025-02-24 04:57:37.439917+00,2025-10-23 20:23:32.138696+00,0.33,378,0,90,0.58,0.000
MU,7926,0,34,2025-02-24 03:35:57.045891+00,2025-10-08 18:08:18.014475+00,1.03,1182,0,1,0.49,0.000
CA,7700,0,128,2025-02-24 04:21:36.923419+00,2025-10-19 19:55:57.87297+00,1.09,1056,0,104,0.47,0.000
ES,7657,0,158,2025-02-24 05:06:07.017583+00,2025-10-20 22:24:32.889871+00,1.02,960,0,414,0.47,0.000
