Executing Query 13: VPN/Proxy/Tor Anonymization Analysis
Expected runtime: 10-15 seconds
======================================================================
attack_date,total_sessions,vpn_sessions,vpn_ratio,proxy_sessions,proxy_ratio,tor_sessions,tor_ratio,anonymized_sessions,anonymization_ratio,residential_count,datacenter_count,hosting_count,mobile_count,residential_ratio,datacenter_ratio
2025-10-24,140,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-23,123,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-22,293,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-21,1,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-20,590,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-19,75,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-18,449,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-17,984,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-16,2290,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-15,515,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-14,875,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-13,7548,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-12,8304,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-11,8329,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-10,10010,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-09,7042,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-08,9734,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-07,8180,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-06,7270,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-05,7958,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-04,1174,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-03,4358,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-02,803,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-10-01,1101,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-30,907,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-29,494,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-28,753,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-27,345,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-26,698,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-25,870,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-24,958,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-23,613,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-22,767,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-21,991,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-20,9627,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-19,10028,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-18,9839,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-17,10643,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-16,11775,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-15,10362,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-14,10588,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-13,9088,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-12,15221,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-11,13491,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-10,12804,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-09,12497,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-08,11756,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-07,1028,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-06,1109,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-05,1956,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-04,1557,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-03,635,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-02,1045,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-09-01,828,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-31,667,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-30,427,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-29,553,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-28,541,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-27,1010,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-26,857,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-25,842,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-24,503,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-23,1060,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-22,1920,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-21,350,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-20,166,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-19,489,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-16,322,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-15,264,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-14,58,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-13,1144,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-12,2809,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-11,2113,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-10,1103,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-09,1703,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-08,1761,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-07,1790,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-06,2152,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-05,1924,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-04,1901,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-03,1846,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-02,2125,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-08-01,1597,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-31,2443,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-30,2587,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-27,287,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-26,613,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-20,2315,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-19,2296,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-18,2416,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-17,1748,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-16,2033,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-15,1536,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-10,757,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-09,21070,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-07,33,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-05,846,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-04,877,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-03,921,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-02,707,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-07-01,1908,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-30,849,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-29,845,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-28,877,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-27,833,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-26,804,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-25,662,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-24,864,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-23,1344,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-22,1077,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-21,933,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-20,1085,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-19,790,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-18,2441,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-17,1003,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-16,497,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-15,617,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-14,993,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-13,1403,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-12,1353,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-11,1383,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-10,1763,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-09,2622,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-08,2714,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-07,1317,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-06,1470,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-05,1347,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-04,1510,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-03,1665,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-02,1991,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-06-01,1541,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-31,3388,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-30,1216,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-29,8530,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-28,985,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-27,1161,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-26,826,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-25,1051,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-24,622,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-23,817,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-22,871,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-21,775,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-20,667,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-19,850,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-18,576,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-17,577,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-16,748,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-15,644,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
2025-05-14,686,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,,
