snapshot_asn,snapshot_country,snapshot_ip_type,session_count,days_active,avg_commands,avg_duration_sec,total_downloads,total_ssh_injections,asn_concentration,countries_per_asn
45102,CN,,190670,218,1.1323805527875387,4.2473021674621073,28250,38077,0.13679495034573601810,1
14061,US,,97060,216,0.87468576138471048836,3.6078217128683289,10782,14889,0.06963506519408998750,1
8075,US,,41575,216,1.09053517739025856885,2.7710726206374023,5658,7748,0.02982771312017608933,1
16276,FR,,36408,162,1.04496264557240166996,2.2204562832893869,4798,6747,0.02612068260443466170,1
136052,ID,,34369,182,1.04870668334836626029,4.2944095284122320,4183,5809,0.02465781532717575500,1
327934,TN,,29689,58,1.0645020041092661,2.4683060445282765,4450,6171,0.02130017979133873520,1
396982,US,,28670,216,1.0671782350889431,3.3695028016393443,3753,5292,0.02056910487445456359,1
4766,KR,,27395,221,0.86150757437488592809,7.3460762965869684,2962,4049,0.01965436442398614473,1
7922,US,,22287,156,1.03782474088033382689,2.7392452416206757,3184,3549,0.01598966307418796159,1
24186,IN,,19497,59,1.0868851618197671,4.4623311883366672,2943,4292,0.01398799573551589209,1
135377,HK,,17601,174,0.87960911311857280836,6.0819357458098972,1643,2482,0.01262772287740756099,1
198953,RU,,16623,26,0.00493292426156530109,6.2054074497984720,7,8,0.01192606314363649147,1
36352,US,,15121,146,1.14311222802724687521,2.2550313753058660,1927,2957,0.01084846302081016589,1
9829,IN,,13392,179,0.44646057347670250896,11.1302351185035842,736,1032,0.00960800322562593357,1
45102,XX,,13132,122,1.14186719463904964971,4.0426681828358209,1878,2449,0.00942146791807943247,1
55836,IN,,12869,53,1.12324189913746211827,4.4106820634081902,1960,2716,0.00923278028006124098,1
55933,HK,,11380,74,1.14859402460456942004,6.1196380956063269,1612,1777,0.00816450692261224045,1
7552,VN,,9412,121,1.1728644283892903,5.0687548317042074,1362,1824,0.00675257813318333981,1
36884,MA,,8928,46,1.0943100358422939,2.8495957362231183,1363,1848,0.00640533548375062238,1
13335,US,,8545,29,1.5159742539496782,3.8207995996489175,1448,1957,0.00613055462686481499,1
47890,GB,,8265,98,0.00338777979431336963,3.2443625923774955,0,0,0.00592967044950704458,1
132203,CN,,7933,101,1.0525652338333543,3.3039235735535107,789,1157,0.00569147921063997394,1
24309,IN,,7816,57,1.0823950870010235,3.8208159045547595,1149,1444,0.00560753832224404845,1
4760,HK,,7749,142,0.89611562782294489612,8.4166064635436831,944,1254,0.00555946960837629624,1
