"asn_number","organization_name","organization_country","rir_registry","asn_type","is_known_hosting","is_known_vpn","first_seen","last_seen","unique_ip_count","total_session_count","enrichment","enrichment_updated_at","created_at","updated_at"
3,"MIT-GATEWAYS","US",NULL,NULL,False,False,"2025-11-06 19:01:00.407768+00","2025-11-06 19:01:00.407768+00",0,0,"{}",NULL,"2025-11-06 19:01:00.407768+00","2025-11-06 19:01:00.407768+00"
104,NULL,"US","arin",NULL,False,False,"2025-11-06 15:54:22.292472+00","2025-11-06 15:54:22.292472+00",0,0,"{}",NULL,"2025-11-06 15:54:22.292472+00","2025-11-06 15:54:22.292472+00"
137,"Consortium GARR","IT","ripencc",NULL,False,False,"2025-11-06 15:54:26.204711+00","2025-11-06 19:01:18.207736+00",0,0,"{}",NULL,"2025-11-06 15:54:26.204711+00","2025-11-06 19:01:18.207736+00"
173,NULL,"JP","apnic",NULL,False,False,"2025-11-06 15:54:26.975391+00","2025-11-06 15:54:26.975391+00",0,0,"{}",NULL,"2025-11-06 15:54:26.975391+00","2025-11-06 15:54:26.975391+00"
174,"COGENT-174","US","arin",NULL,False,False,"2025-11-06 15:54:51.288841+00","2025-11-06 19:03:09.906059+00",0,0,"{}",NULL,"2025-11-06 15:54:51.288841+00","2025-11-06 19:03:09.906059+00"
209,"CENTURYLINK-US-LEGACY-QWEST","US","arin",NULL,False,False,"2025-11-06 18:59:15.587817+00","2025-11-06 19:03:38.308565+00",0,0,"{}",NULL,"2025-11-06 18:59:15.587817+00","2025-11-06 19:03:38.308565+00"
278,"Universidad Nacional Autonoma de Mexico","MX",NULL,NULL,False,False,"2025-11-06 19:00:08.611229+00","2025-11-06 19:00:08.621437+00",0,0,"{}",NULL,"2025-11-06 19:00:08.611229+00","2025-11-06 19:00:08.621437+00"
367,NULL,"US","arin",NULL,False,False,"2025-11-06 15:54:26.703492+00","2025-11-06 15:54:26.703492+00",0,0,"{}",NULL,"2025-11-06 15:54:26.703492+00","2025-11-06 15:54:26.703492+00"
513,NULL,"CH","ripencc",NULL,False,False,"2025-11-06 15:54:23.905144+00","2025-11-06 15:54:23.905144+00",0,0,"{}",NULL,"2025-11-06 15:54:23.905144+00","2025-11-06 15:54:23.905144+00"
577,"BACOM","CA",NULL,NULL,False,False,"2025-11-06 19:00:16.349472+00","2025-11-06 19:03:05.174076+00",0,0,"{}",NULL,"2025-11-06 19:00:16.349472+00","2025-11-06 19:03:05.174076+00"
680,"Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.","DE",NULL,NULL,False,False,"2025-11-06 19:00:12.398822+00","2025-11-06 19:01:18.141937+00",0,0,"{}",NULL,"2025-11-06 19:00:12.398822+00","2025-11-06 19:01:18.141937+00"
701,"UUNET","US","arin",NULL,False,False,"2025-11-06 15:54:03.743007+00","2025-11-06 19:03:38.439368+00",0,0,"{}",NULL,"2025-11-06 15:54:03.743007+00","2025-11-06 19:03:38.439368+00"
714,NULL,"US","arin",NULL,False,False,"2025-11-06 15:54:28.0796+00","2025-11-06 15:54:28.0796+00",0,0,"{}",NULL,"2025-11-06 15:54:28.0796+00","2025-11-06 15:54:28.0796+00"
719,"Elisa Oyj","FI",NULL,NULL,False,False,"2025-11-06 19:01:19.017106+00","2025-11-06 19:03:29.56967+00",0,0,"{}",NULL,"2025-11-06 19:01:19.017106+00","2025-11-06 19:03:29.56967+00"
721,NULL,"US","arin",NULL,False,False,"2025-11-06 15:54:24.887295+00","2025-11-06 18:59:15.507211+00",0,0,"{}",NULL,"2025-11-06 15:54:24.887295+00","2025-11-06 18:59:15.507211+00"
749,NULL,"US","arin",NULL,False,False,"2025-11-06 15:54:09.946528+00","2025-11-06 18:59:15.608578+00",0,0,"{}",NULL,"2025-11-06 15:54:09.946528+00","2025-11-06 18:59:15.608578+00"
803,"SASKTEL","CA",NULL,NULL,False,False,"2025-11-06 19:01:25.885028+00","2025-11-06 19:01:25.885028+00",0,0,"{}",NULL,"2025-11-06 19:01:25.885028+00","2025-11-06 19:01:25.885028+00"
812,"ROGERS-COMMUNICATIONS","CA","arin",NULL,False,False,"2025-11-06 18:59:15.647475+00","2025-11-06 19:03:38.854316+00",0,0,"{}",NULL,"2025-11-06 18:59:15.647475+00","2025-11-06 19:03:38.854316+00"
834,"IPXO","SI",NULL,NULL,False,False,"2025-11-06 19:01:03.979126+00","2025-11-06 19:03:27.78057+00",0,0,"{}",NULL,"2025-11-06 19:01:03.979126+00","2025-11-06 19:03:27.78057+00"
852,"TELUS Communications","CA",NULL,NULL,False,False,"2025-11-06 18:59:23.519662+00","2025-11-06 19:03:38.79742+00",0,0,"{}",NULL,"2025-11-06 18:59:23.519662+00","2025-11-06 19:03:38.79742+00"
855,"CANET-ASN-4","CA",NULL,NULL,False,False,"2025-11-06 19:00:16.364874+00","2025-11-06 19:00:16.364874+00",0,0,"{}",NULL,"2025-11-06 19:00:16.364874+00","2025-11-06 19:00:16.364874+00"
906,"DMIT","HK",NULL,NULL,False,False,"2025-11-06 19:00:26.751829+00","2025-11-06 19:00:26.97373+00",0,0,"{}",NULL,"2025-11-06 19:00:26.751829+00","2025-11-06 19:00:26.97373+00"
976,"CORENET","US",NULL,NULL,False,False,"2025-11-06 15:54:07.336942+00","2025-11-06 15:54:07.336942+00",0,0,"{}",NULL,"2025-11-06 15:54:07.336942+00","2025-11-06 15:54:07.336942+00"
979,"NETLAB-SDN","HK",NULL,NULL,False,False,"2025-11-06 19:00:27.429833+00","2025-11-06 19:00:27.870935+00",0,0,"{}",NULL,"2025-11-06 19:00:27.429833+00","2025-11-06 19:00:27.870935+00"
1136,"KPN B.V.","NL",NULL,NULL,False,False,"2025-11-06 19:01:09.29802+00","2025-11-06 19:03:33.312634+00",0,0,"{}",NULL,"2025-11-06 19:01:09.29802+00","2025-11-06 19:03:33.312634+00"
1221,"Telstra Limited","AU","apnic",NULL,False,False,"2025-11-06 15:54:05.265392+00","2025-11-06 19:02:52.883449+00",0,0,"{}",NULL,"2025-11-06 15:54:05.265392+00","2025-11-06 19:02:52.883449+00"
1241,"Nova Telecommunications & Media Single Member S.A","GR",NULL,NULL,False,False,"2025-11-06 19:00:08.248246+00","2025-11-06 19:03:05.959538+00",0,0,"{}",NULL,"2025-11-06 19:00:08.248246+00","2025-11-06 19:03:05.959538+00"
